141;118;109;103;140;123;66
11;37;37;42;67;42;11
111;22;85;32;115;28;84
56;8;73;73;137;137;56
110;91;114;142;114;110;91
120;48;48;12;120;62;62
142;134;142;67;52;52;134
142;55;46;3;46;110;57
3;72;40;79;90;36;116
73;147;133;147;118;59;119
139;135;82;88;82;135;139
98;86;132;132;98;98;98
32;26;106;28;114;50;121
43;134;143;43;134;101;101
12;12;37;111;37;72;111
51;51;21;130;21;110;110
146;137;38;137;146;118;118
28;121;107;137;100;3;75
47;70;47;70;93;93;90
124;124;150;12;49;12;150
116;44;92;39;148;24;102
114;33;114;24;24;33;94
141;86;122;88;87;23;139
89;89;31;31;75;144;75
123;115;108;48;48;137;105
134;134;107;88;139;123;3
106;113;35;143;32;65;9
72;72;20;43;43;149;20
69;108;108;48;24;48;24
62;62;62;108;108;111;111
79;146;79;146;121;149;149
28;43;111;73;73;111;43
73;60;137;9;14;95;59
27;61;27;61;98;88;88
149;149;37;60;45;60;37
112;54;7;112;7;54;69
8;90;8;22;46;22;90
33;44;30;131;30;44;33
11;3;53;11;74;53;74
139;80;7;80;7;139;64
115;115;60;3;60;145;145
47;36;45;45;36;11;11
3;68;99;3;82;99;68
3;20;137;61;142;95;73
132;13;120;132;26;120;26
114;8;42;2;42;8;2
125;93;26;59;106;149;134
32;118;88;88;118;32;150
139;100;7;53;71;4;3
19;64;64;19;92;77;92
128;94;94;75;128;52;52
70;44;133;106;70;44;133
74;150;98;109;109;150;74
111;15;103;131;53;102;137
75;66;66;21;75;78;78
3;4;35;21;149;43;25
108;65;99;65;99;20;20
14;14;65;65;90;27;27
36;7;7;87;32;32;36
46;115;38;99;122;46;22
81;147;70;147;81;70;97
131;59;59;58;131;63;63
148;148;77;77;146;62;62
104;40;71;17;103;81;85
120;10;120;54;10;74;74
103;44;76;20;58;29;59
93;128;138;135;55;124;106
11;11;64;9;1;1;9
20;47;20;47;6;119;6
75;22;90;22;75;53;53
13;39;39;22;13;83;83
93;23;36;94;94;23;36
89;89;150;89;89;150;129
131;7;19;105;120;40;45
144;30;93;8;147;116;111
54;87;18;87;63;63;54
32;87;146;146;8;8;87
91;60;107;76;145;94;54
43;111;81;43;54;54;81
106;113;46;71;113;106;71
19;30;93;118;19;30;93
105;105;17;60;30;30;60
72;104;27;27;62;104;72
96;136;136;120;96;53;53
66;7;75;65;108;95;64
52;79;52;20;120;120;79
73;7;125;23;73;7;125
89;2;132;42;46;11;25
139;23;55;64;115;18;46
78;126;82;48;130;133;142
34;136;53;34;115;115;53
109;34;59;43;59;43;34
137;88;65;26;103;82;51
26;107;56;26;85;85;107
7;25;25;7;20;7;7
110;134;114;104;7;136;144
4;124;28;1;76;141;51
13;84;123;112;13;84;123
35;35;138;131;56;56;138
90;100;100;55;90;129;55
102;114;36;102;36;24;114
26;66;66;129;26;129;94
40;27;87;40;66;66;87
104;67;104;62;7;7;67
41;48;30;120;120;30;48
34;124;31;71;52;15;26
142;46;83;101;56;28;131
66;123;105;32;57;35;65
90;5;67;67;102;5;102
127;127;128;30;30;82;128
49;49;103;103;61;6;6
18;118;99;106;140;111;79
123;123;137;51;137;112;112
116;100;2;90;40;62;146
94;84;120;56;62;94;32
105;63;150;112;133;139;73
104;80;128;54;50;42;20
14;79;12;14;138;79;138
94;34;34;84;2;2;94
128;129;38;31;129;128;38
5;114;132;132;114;5;89
103;50;50;13;103;60;60
55;142;55;132;142;11;132
146;2;28;2;133;28;146
115;123;123;115;143;143;69
108;22;25;119;131;146;53
5;48;53;108;108;5;53
5;81;89;89;77;5;81
102;136;136;102;43;19;19
42;73;1;25;17;54;147
129;26;108;102;147;16;40
142;104;142;104;39;58;58
32;52;32;62;62;52;34
81;59;8;81;119;119;59
121;22;126;126;113;113;22
102;12;70;79;76;13;148
18;77;23;63;23;63;77
51;123;128;31;114;106;97
112;28;28;71;71;31;31
14;39;14;10;74;10;74
93;147;120;93;120;111;147
117;117;47;48;47;48;31
131;131;131;63;131;63;10
9;9;7;64;48;7;48
32;33;149;76;99;59;57
73;13;31;73;49;13;31
60;106;23;122;100;122;42
111;96;61;39;150;62;59
57;57;22;22;6;142;142
109;10;35;100;10;35;109
95;134;134;105;40;105;40
18;8;43;10;18;8;10
136;21;115;51;52;4;26
53;53;140;144;37;144;37
60;45;45;59;107;59;60
136;140;127;127;118;118;140
144;114;144;114;9;66;9
71;129;28;149;51;50;46
41;103;71;60;41;103;71
59;120;120;59;87;96;96
131;136;31;40;31;40;136
97;142;61;56;142;97;61
81;121;47;121;9;81;47
87;99;87;53;99;53;46
