48,14,39,85,47,66,30
12,24,97,29,12,12,36
40,100,26,95,57,56,95
40,66,78,30,92,93,93
45,15,51,49,72,95,33
79,10,76,25,48,24,23
78,49,72,14,14,20,87
49,57,60,88,37,18,61
84,85,79,46,74,12,42
99,66,36,35,44,72,26
11,84,44,66,83,54,81
16,94,28,39,60,62,26
20,56,41,32,53,97,84
43,72,71,80,42,28,73
28,63,34,10,52,17,34
50,85,22,46,100,85,44
58,68,42,53,72,73,93
57,84,95,71,79,35,30
81,62,71,99,62,17,14
17,40,11,93,26,65,48
73,86,88,57,86,80,81
23,82,76,41,87,56,67
34,61,89,93,15,47,20
98,87,14,39,80,29,80
19,91,96,45,27,55,94
72,73,79,17,92,21,82
92,33,89,42,24,18,69
12,56,14,16,26,76,95
49,14,55,79,62,78,82
22,75,50,14,89,10,41
33,49,70,38,41,94,77
32,88,37,97,39,59,80
31,14,46,19,38,56,15
18,60,64,33,76,39,56
44,62,61,48,41,59,24
68,17,77,75,38,97,63
54,94,51,12,17,52,21
50,63,67,86,93,100,100
16,66,23,46,37,71,51
18,41,22,77,38,34,91
64,57,70,53,76,68,57
46,37,90,18,81,73,65
31,21,51,24,33,99,10
24,57,30,89,13,38,78
41,17,61,51,46,78,21
49,70,85,88,10,76,56
67,95,16,48,26,75,84
47,61,10,88,56,86,30
43,68,27,98,92,11,79
100,49,50,33,87,37,15
67,50,32,27,28,35,25
27,46,30,99,23,88,10
50,20,88,50,92,28,99
65,57,57,17,87,84,61
66,99,48,16,92,20,11
47,23,41,98,64,100,79
79,27,24,13,85,28,73
30,88,14,58,64,89,50
27,68,96,59,40,27,40
41,94,55,88,50,31,65
90,84,29,79,76,41,50
76,36,18,82,66,73,50
90,73,55,51,48,98,47
54,55,60,69,39,18,34
76,72,21,66,56,20,31
93,73,16,50,44,29,72
27,80,88,53,35,66,85
17,91,70,56,94,78,64
88,12,15,88,28,24,96
36,20,94,41,87,27,53
36,11,26,12,65,62,62
44,31,95,59,47,46,59
60,32,57,83,92,51,82
92,10,100,16,50,37,69
34,86,68,16,47,34,37
57,79,42,71,95,19,10
91,42,97,48,41,71,76
70,98,51,71,67,97,55
58,61,81,39,94,27,63
91,10,23,26,88,48,66
35,67,40,18,88,97,37
51,28,44,71,26,97,49
22,21,12,44,84,31,52
39,39,33,30,91,54,44
19,70,21,84,36,85,20
95,94,41,19,45,52,40
74,87,26,77,42,81,12
55,96,28,53,62,41,94
17,59,60,94,75,26,79
12,84,39,23,84,52,87
89,52,81,66,66,51,73
73,59,42,35,64,50,69
70,59,99,13,42,62,91
28,91,43,80,49,30,23
55,21,46,23,12,30,49
54,29,24,79,75,93,86
65,84,16,34,22,40,40
19,58,57,16,78,91,86
44,10,96,12,89,58,11
53,12,78,94,49,45,25
10,97,88,98,61,16,23
28,21,14,86,74,75,40
94,92,57,67,58,92,46
16,65,48,12,22,10,63
26,27,99,73,24,100,85
20,50,41,33,19,91,34
16,79,52,13,63,74,23
25,51,44,45,13,65,84
94,69,31,71,90,42,54
25,95,66,77,57,79,37
14,91,44,33,24,37,11
12,34,75,34,93,44,28
88,12,53,56,92,83,36
83,45,36,93,49,71,42
38,91,18,90,33,11,71
98,55,51,87,34,74,88
36,43,94,39,82,60,95
42,21,52,62,84,19,86
51,99,10,59,71,83,10
48,51,73,18,22,40,28
18,48,100,49,12,11,22
78,43,77,13,80,86,74
89,100,84,55,81,10,100
77,72,77,39,17,89,88
58,11,90,99,33,20,86
47,52,39,69,86,27,54
83,84,91,27,18,36,90
76,77,26,47,30,46,87
68,94,58,62,77,78,32
85,41,11,19,32,52,60
85,61,45,58,44,54,55
71,96,82,15,93,23,91
59,86,41,56,88,82,84
23,27,96,39,17,41,84
90,73,18,71,71,77,56
40,35,56,75,44,19,91
55,88,63,45,50,66,11
74,99,58,59,39,78,82
93,72,94,24,83,54,18
31,97,69,58,98,14,75
42,43,36,72,35,25,68
12,42,83,43,21,62,70
96,45,50,82,97,82,86
75,90,42,90,66,61,28
29,48,82,68,61,47,61
60,43,59,26,57,97,11
26,45,91,40,88,91,50
86,14,80,94,54,33,47
65,96,71,99,69,31,10
24,92,92,81,85,15,61
64,81,54,79,99,31,63
64,74,78,40,37,96,90
32,10,85,65,43,14,24
22,51,71,65,19,26,59
10,70,63,26,54,71,59
57,55,17,31,23,52,40
66,17,63,93,54,18,45
45,66,11,69,10,64,59
13,47,34,68,34,59,45
19,53,59,99,87,55,78
99,46,14,66,13,33,49
43,11,51,75,57,80,60
14,25,99,28,29,12,100
67,100,80,60,84,84,60
45,18,72,11,42,33,75
32,20,48,83,72,15,29
15,77,37,19,55,14,31
100,50,42,36,62,70,76
12,87,24,51,98,98,10
40,34,27,53,19,82,20
91,48,45,49,80,69,79
83,83,52,100,52,59,36
20,19,66,21,60,77,32
81,49,25,39,99,55,31
49,84,14,61,62,11,46
42,69,58,98,46,11,36
39,91,25,33,20,60,54
93,81,30,72,42,20,86
85,86,10,11,17,50,30
52,55,91,14,73,52,86
70,96,46,77,92,94,76
55,79,57,82,73,87,73
45,39,28,50,47,48,75
11,78,58,85,40,79,87
38,68,25,68,28,50,72
56,25,68,54,95,61,38
18,64,93,96,12,95,20
94,59,76,28,20,82,74
86,48,42,91,63,34,42
50,75,74,100,58,22,39
94,58,29,65,37,10,19
83,25,77,62,67,58,66
37,65,29,90,18,100,62
11,97,80,34,34,15,22
99,23,79,20,34,47,84
31,77,71,32,17,49,16
37,86,67,14,66,66,88
48,35,67,73,30,72,50
35,32,59,42,34,65,78
84,76,17,52,87,37,33
69,30,38,31,81,30,52
12,77,65,39,43,47,45
46,61,14,87,87,45,66
68,60,75,57,40,30,88
67,84,28,29,89,34,83
15,19,53,95,35,48,64
73,14,76,14,90,68,27
65,43,34,23,13,25,67
20,74,38,33,67,47,60
97,82,64,68,83,59,37
54,31,48,42,41,36,70
51,38,79,88,43,40,80
41,64,60,96,93,80,95
17,21,63,42,67,30,71
35,39,58,96,86,86,17
46,56,68,24,53,58,79
34,67,86,59,33,25,78
55,66,63,39,26,74,90
47,19,79,91,100,23,59
67,71,49,93,90,64,10
73,89,38,11,78,53,93
88,59,36,50,42,15,71
71,62,95,24,33,26,63
26,75,35,73,36,73,19
97,31,18,26,66,79,79
15,79,41,43,14,23,56
90,41,92,43,52,85,23
34,58,62,78,19,20,59
25,66,60,73,95,79,54
11,38,66,51,69,13,40
73,51,31,20,19,84,46
18,11,35,97,86,27,62
46,22,83,82,14,28,68
65,84,78,54,86,36,51
43,70,45,57,22,20,91
25,44,28,49,94,52,72
12,38,79,84,25,26,41
23,94,51,24,18,82,31
45,48,72,15,41,11,72
44,74,36,85,22,51,25
34,27,34,11,87,26,41
20,78,46,81,11,71,93
56,30,78,18,22,71,61
59,24,78,22,95,96,12
51,11,12,79,49,93,25
11,57,52,33,53,16,69
28,23,98,57,44,71,51
21,30,82,31,44,60,21
34,22,26,90,64,28,32
32,41,18,41,28,33,21
73,90,62,16,97,32,36
91,48,43,61,19,87,95
72,48,19,98,50,52,59
94,42,53,53,17,28,100
34,26,73,73,77,26,62
59,17,42,16,36,98,22
84,60,23,91,66,47,40
44,67,20,34,59,40,90
96,84,61,74,32,46,57
42,58,40,51,26,41,98
