93,-35,-4,18,49
77,8,-5,45,61
-22,29,-40,80,-94
45,-11,-86,10,96
46,-63,67,33,-74
-85,18,52,-46,-49
19,-55,-62,-81,-44
-78,46,-65,78,-62
31,38,-13,-96,-80
6,-98,68,-15,-47
26,72,-64,-4,94
56,89,-69,-10,63
86,-90,23,52,-89
80,-78,-44,-6,-45
-48,45,-69,-6,-41
-27,22,-61,11,53
25,32,-19,93,10
-15,-43,-44,37,-28
22,25,82,1,-15
78,28,-84,19,-56
62,91,75,-62,-35
-91,29,70,39,-82
-59,-1,19,-72,-30
-62,46,30,-60,-80
44,55,-56,36,41
5,-93,-94,-79,24
85,63,49,-6,43
-8,20,21,-49,-13
-61,75,-67,67,40
-20,62,-88,49,-27
-38,-47,54,-5,92
-9,98,-40,52,75
60,23,-66,11,16
-3,6,41,56,68
-23,-68,44,-27,-57
-91,9,-28,88,2
-73,18,-52,-4,5
-91,-26,59,-28,0
42,-75,-69,-64,97
16,-32,15,-25,34
15,0,31,93,65
88,-90,-39,61,-39
52,-68,-71,3,-46
-84,67,1,96,-84
-70,78,-61,-66,-91
77,63,-92,-12,-79
-44,92,57,-75,62
100,30,-65,8,22
7,46,-71,22,73
-49,13,3,-75,-50
80,-44,95,90,-17
-63,61,-51,-34,-77
-26,42,-48,-88,62
89,52,-56,20,91
-91,90,-71,50,-7
39,-31,59,-69,-90
-57,66,-66,41,34
35,-35,-10,29,95
-65,-72,38,86,10
-66,-10,-41,32,-10
-33,11,-12,-76,-31
-91,45,-42,-9,28
77,23,-9,-20,53
57,9,-69,17,30
13,-16,39,44,56
48,10,-46,-61,62
-37,-82,-56,31,33
100,28,-55,-60,81
41,-6,-69,-3,38
-33,4,-84,-28,78
84,-96,49,95,62
5,-76,21,-17,60
-84,34,42,43,29
56,-38,14,14,8
88,-9,-57,-51,-98
-30,-45,80,56,-2
38,100,13,-57,-94
21,81,-46,36,31
10,-35,-23,4,-69
100,-93,32,43,-79
-8,-21,65,49,-35
-70,91,71,-30,-30
-73,67,-4,-18,62
98,-86,100,19,92
-96,-91,82,-54,52
-63,-18,-19,80,74
45,-33,72,16,-9
-47,57,76,-54,59
72,-35,-96,25,-76
60,59,-96,42,1
61,-80,71,90,88
31,-66,90,-29,-31
